,Gender,Age,Frequency,Device,Genres,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize
0,Male,35-39,Less than 3 hours a week,Smartphone,Simulation;Strategy,5,4,6,3,1,1,1,2,1
1,Male,40-45,20 hours or more a week,PC/Laptop,Racing,7,3,7,1,1,1,1,5,1
2,Male,18-24,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Puzzle;Strategy;Racing;Sports,7,6,7,1,1,1,1,1,4
3,Male,18-24,10-14 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Action;Adventure;Role-playing;Sports;Board or card game,7,3,5,4,1,5,1,4,5
4,Male,25-29,6-9 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure;Role-playing;RPG,7,4,6,4,3,1,1,2,3
5,Male,35-39,Less than 3 hours a week,Smartphone,Sports;Educational,7,1,7,4,1,1,1,1,3
6,Male,18-24,3-5 hours a week,Smartphone;PC/Laptop,Simulation;Adventure;Strategy;Racing,7,7,7,1,1,5,5,7,4
7,Male,25-29,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Puzzle;Adventure;MMO;Strategy;Racing;Sports;Logic game,7,5,7,7,1,2,3,1,3
8,Female,30-34,Less than 3 hours a week,Smartphone,Puzzle,4,4,4,4,4,4,4,4,4
9,Female,25-29,Less than 3 hours a week,PC/Laptop,"Simulation;Puzzle;Music, dance or party",1,1,1,1,1,1,1,1,1
10,Female,18-24,Less than 3 hours a week,Smartphone,Arcade,6,4,5,5,1,1,2,6,4
11,Male,25-29,6-9 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;Sports,7,4,5,3,2,2,2,5,3
12,Prefer not to say,25-29,20 hours or more a week,PC/Laptop,Puzzle;Adventure;Strategy;Role-playing;Logic game,7,2,5,1,1,1,1,6,1
13,Male,25-29,20 hours or more a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Fps,7,6,7,5,4,6,1,6,7
14,Male,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Role-playing;Racing;Sports;Logic game,5,4,5,2,2,2,1,2,2
16,Male,25-29,6-9 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Adventure;Strategy;Racing,7,4,5,3,3,3,1,3,3
17,Male,25-29,10-14 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action,7,5,5,5,5,4,2,6,5
19,Male,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure,5,1,4,1,1,1,1,3,1
20,Male,30-34,20 hours or more a week,"PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Puzzle;Strategy;Role-playing;Racing;Sports;Board or card game;Educational;Logic game,7,3,4,3,1,1,1,5,1
21,Male,25-29,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Adventure;Strategy;Sports,5,5,4,4,1,2,2,3,2
22,Male,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Strategy;Sports;Board or card game;Logic game,7,4,5,5,1,4,3,5,5
