,Gender,Age,Frequency,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize,G_Arcade,G_Simulation,G_Puzzle,G_Action,G_Adventure,G_MMO,G_Strategy,G_RolePlaying,G_Racing,G_Sports,G_Music,G_BoardCard,G_Educational,G_Logic,D_Smartphone,D_PC,D_Console,D_Portable,D_Arcade
0,Male,35-39,Less than 3 hours a week,5,4,6,3,1,1,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,Male,40-45,20 hours or more a week,7,3,7,1,1,1,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,Male,18-24,3-5 hours a week,7,6,7,1,1,1,1,1,4,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0
3,Male,18-24,10-14 hours a week,7,3,5,4,1,5,1,4,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0
4,Male,25-29,6-9 hours a week,7,4,6,4,3,1,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Male,35-39,Less than 3 hours a week,7,1,7,4,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
6,Male,18-24,3-5 hours a week,7,7,7,1,1,5,5,7,4,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
7,Male,25-29,6-9 hours a week,7,5,7,7,1,2,3,1,3,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0
8,Female,30-34,Less than 3 hours a week,4,4,4,4,4,4,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Female,25-29,Less than 3 hours a week,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10,Female,18-24,Less than 3 hours a week,6,4,5,5,1,1,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Male,25-29,6-9 hours a week,7,4,5,3,2,2,2,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
13,Male,25-29,20 hours or more a week,7,6,7,5,4,6,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,Male,18-24,6-9 hours a week,5,4,5,2,2,2,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0
16,Male,25-29,6-9 hours a week,7,4,5,3,3,3,1,3,3,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
17,Male,25-29,10-14 hours a week,7,5,5,5,5,4,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,Male,18-24,Less than 3 hours a week,5,1,4,1,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
20,Male,30-34,20 hours or more a week,7,3,4,3,1,1,1,5,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
21,Male,25-29,Less than 3 hours a week,5,5,4,4,1,2,2,3,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0
