,Frequency,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize,G_Arcade,G_Simulation,G_Puzzle,G_Action,G_Adventure,G_MMO,G_Strategy,G_RolePlaying,G_Racing,G_Sports,G_Music,G_BoardCard,G_Educational,G_Logic,D_Smartphone,D_PC,D_Console,D_Portable,D_Arcade
10,Less than 3 hours a week,6,4,5,5,1,1,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Less than 3 hours a week,6,5,6,4,3,4,3,5,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,3-5 hours a week,5,4,5,3,2,2,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
32,Less than 3 hours a week,5,2,4,4,3,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
34,6-9 hours a week,6,3,6,2,4,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0
35,6-9 hours a week,7,1,3,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,Less than 3 hours a week,7,4,4,6,1,1,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
43,6-9 hours a week,7,4,6,2,5,1,1,1,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
51,3-5 hours a week,7,4,7,2,1,1,1,1,3,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
58,3-5 hours a week,6,3,4,5,4,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
69,Less than 3 hours a week,7,3,4,4,3,3,3,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
71,3-5 hours a week,7,1,4,1,3,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0
73,20 hours or more a week,7,6,5,5,1,6,5,5,6,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0
89,3-5 hours a week,6,1,2,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,Less than 3 hours a week,7,3,4,1,1,1,1,1,3,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0
92,10-14 hours a week,7,4,2,2,2,2,1,5,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
94,Less than 3 hours a week,4,1,2,1,1,2,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
97,3-5 hours a week,6,3,6,2,1,2,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
99,6-9 hours a week,7,5,7,7,5,5,5,7,5,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0
102,10-14 hours a week,6,6,7,5,5,6,4,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,15-19 hours a week,7,3,5,5,2,4,1,4,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
105,Less than 3 hours a week,7,2,7,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,15-19 hours a week,6,7,5,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,Less than 3 hours a week,7,2,7,1,1,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
113,Less than 3 hours a week,7,2,5,5,1,1,1,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
114,3-5 hours a week,6,3,7,2,2,3,1,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
117,3-5 hours a week,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
118,6-9 hours a week,7,5,6,5,5,3,1,3,3,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
119,Less than 3 hours a week,5,4,5,4,1,4,1,3,4,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
120,Less than 3 hours a week,7,3,6,2,4,2,3,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
122,Less than 3 hours a week,4,1,6,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
124,Less than 3 hours a week,7,4,6,3,3,3,1,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
125,Less than 3 hours a week,4,4,6,3,3,2,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
126,Less than 3 hours a week,4,4,4,3,5,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
127,Less than 3 hours a week,5,2,3,4,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
128,Less than 3 hours a week,4,2,2,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
130,3-5 hours a week,7,1,7,1,1,1,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
131,Less than 3 hours a week,7,4,1,7,1,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
132,Less than 3 hours a week,6,4,5,4,3,4,3,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,6-9 hours a week,6,7,7,7,1,1,1,7,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0
135,Less than 3 hours a week,3,1,2,1,1,3,1,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,Less than 3 hours a week,4,1,1,1,3,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
