"Timestamp","What is your gender?","What is your age?","Do you play video games or have you ever played video games?","How frequent do you now or in the past are you used to play video games?","What type of device do you use to play video games?","What genres of video games do you prefer playing?","For fun and enjoyment","To feel competent","To escape from daily routine/to have a break","To improve my skills and education","For fitness","To be part of a community","To be a professional gamer, for e-sports","Because it is challenging and rewarding","To socialize"
"2018/05/15 8:36:27 pm EET","Male","35-39","Yes","Less than 3 hours a week","Smartphone","Simulation;Strategy","5","4","6","3","1","1","1","2","1"
"2018/05/15 8:55:26 pm EET","Male","40-45","Yes","20 hours or more a week","PC/Laptop","Racing","7","3","7","1","1","1","1","5","1"
"2018/05/15 10:28:10 pm EET","Male","18-24","Yes","3-5 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Simulation;Puzzle;Strategy;Racing;Sports","7","6","7","1","1","1","1","1","4"
"2018/05/15 10:28:47 pm EET","Male","18-24","Yes","10-14 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Action;Adventure;Role-playing;Sports;Board or card game","7","3","5","4","1","5","1","4","5"
"2018/05/15 10:37:16 pm EET","Male","25-29","Yes","6-9 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Adventure;Role-playing;RPG","7","4","6","4","3","1","1","2","3"
"2018/05/15 10:42:44 pm EET","Male","35-39","Yes","Less than 3 hours a week","Smartphone","Sports;Educational","7","1","7","4","1","1","1","1","3"
"2018/05/15 10:48:03 pm EET","Male","18-24","Yes","3-5 hours a week","Smartphone;PC/Laptop","Simulation;Adventure;Strategy;Racing","7","7","7","1","1","5","5","7","4"
"2018/05/15 11:10:30 pm EET","Male","25-29","Yes","6-9 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Puzzle;Adventure;MMO;Strategy;Racing;Sports;Logic game","7","5","7","7","1","2","3","1","3"
"2018/05/15 11:23:50 pm EET","Female","30-34","Yes","Less than 3 hours a week","Smartphone","Puzzle","4","4","4","4","4","4","4","4","4"
"2018/05/15 11:24:56 pm EET","Female","25-29","Yes","Less than 3 hours a week","PC/Laptop","Simulation;Puzzle;Music, dance or party","1","1","1","1","1","1","1","1","1"
"2018/05/15 11:25:37 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Arcade","6","4","5","5","1","1","2","6","4"
"2018/05/15 11:27:16 pm EET","Male","25-29","Yes","6-9 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;Sports","7","4","5","3","2","2","2","5","3"
"2018/05/15 11:27:29 pm EET","Prefer not to say","25-29","Yes","20 hours or more a week","PC/Laptop","Puzzle;Adventure;Strategy;Role-playing;Logic game","7","2","5","1","1","1","1","6","1"
"2018/05/15 11:29:25 pm EET","Male","25-29","Yes","20 hours or more a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Fps","7","6","7","5","4","6","1","6","7"
"2018/05/15 11:30:21 pm EET","Male","18-24","Yes","6-9 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Role-playing;Racing;Sports;Logic game","5","4","5","2","2","2","1","2","2"
"2018/05/15 11:31:00 pm EET","Female","25-29","No","Less than 3 hours a week","Smartphone","Sports;Music, dance or party","6","5","4","3","2","2","2","1","3"
"2018/05/15 11:32:56 pm EET","Male","25-29","Yes","6-9 hours a week","PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Adventure;Strategy;Racing","7","4","5","3","3","3","1","3","3"
"2018/05/15 11:34:33 pm EET","Male","25-29","Yes","10-14 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action","7","5","5","5","5","4","2","6","5"
"2018/05/15 11:34:41 pm EET","Female",">45","No","Less than 3 hours a week","Retrogaming console","Action","4","5","5","2","3","6","5","2","2"
"2018/05/15 11:38:40 pm EET","Male","18-24","Yes","Less than 3 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure","5","1","4","1","1","1","1","3","1"
"2018/05/15 11:41:03 pm EET","Male","30-34","Yes","20 hours or more a week","PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Simulation;Puzzle;Strategy;Role-playing;Racing;Sports;Board or card game;Educational;Logic game","7","3","4","3","1","1","1","5","1"
"2018/05/15 11:46:02 pm EET","Male","25-29","Yes","Less than 3 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Simulation;Adventure;Strategy;Sports","5","5","4","4","1","2","2","3","2"
"2018/05/15 11:51:57 pm EET","Male","18-24","Yes","6-9 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Strategy;Sports;Board or card game;Logic game","7","4","5","5","1","4","3","5","5"
"2018/05/15 11:52:28 pm EET","Female",">45","Yes","Less than 3 hours a week","Smartphone","Logic game","5","1","7","2","1","1","1","1","1"
"2018/05/15 11:54:48 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Arcade;Simulation;Adventure;Role-playing","6","5","6","4","3","4","3","5","5"
"2018/05/15 11:55:44 pm EET","Male","18-24","Yes","20 hours or more a week","PC/Laptop","Racing;Sports","7","2","7","3","2","2","2","5","3"
"2018/05/16 12:06:16 am EET","Female","18-24","Yes","3-5 hours a week","Smartphone;PC/Laptop","Puzzle;Racing;Board or card game","5","4","5","3","2","2","2","2","2"
"2018/05/16 12:18:46 am EET","Male","25-29","Yes","20 hours or more a week","PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Action;Adventure;Role-playing;Racing","7","5","7","4","1","7","1","2","6"
"2018/05/16 12:20:36 am EET","Male","18-24","Yes","6-9 hours a week","PC/Laptop","Action;Adventure;Strategy","5","5","6","4","1","4","1","4","4"
"2018/05/16 12:26:17 am EET","Male","25-29","Yes","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Racing","7","1","7","1","1","1","1","4","1"
"2018/05/16 12:27:49 am EET","Male","35-39","No","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Adventure","2","1","1","1","1","1","1","1","1"
"2018/05/16 12:55:10 am EET","Male","18-24","Yes","6-9 hours a week","PC/Laptop","Strategy","5","6","5","4","4","6","2","2","4"
"2018/05/16 1:03:13 am EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Logic game","5","2","4","4","3","5","1","3","3"
"2018/05/16 1:43:11 am EET","Male","25-29","Yes","Less than 3 hours a week","PC/Laptop","Simulation;Racing","6","4","5","4","2","3","1","6","1"
"2018/05/16 6:34:33 am EET","Female","18-24","Yes","6-9 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure;Strategy;Role-playing;Sports;Board or card game;Educational","6","3","6","2","4","1","1","1","1"
"2018/05/16 6:39:35 am EET","Female","18-24","Yes","6-9 hours a week","Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure;Role-playing","7","1","3","1","1","1","1","2","1"
"2018/05/16 6:52:11 am EET","Female","25-29","Yes","Less than 3 hours a week","Smartphone","Simulation","5","6","4","5","5","3","5","3","5"
"2018/05/16 7:26:03 am EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Role-playing;Educational;Logic game","7","4","4","6","1","1","1","5","2"
"2018/05/16 7:58:24 am EET","Male","18-24","Yes","20 hours or more a week","PC/Laptop","Arcade;Simulation;Action;Adventure;MMO;Strategy;Music, dance or party;Board or card game","6","5","6","6","1","2","1","6","5"
"2018/05/16 7:59:05 am EET","Male","18-24","Yes","10-14 hours a week","PC/Laptop","Arcade;Action;Role-playing","6","3","6","3","1","3","1","4","4"
"2018/05/16 8:17:35 am EET","Male","25-29","Yes","6-9 hours a week","PC/Laptop","Arcade;Action;Adventure;Role-playing","6","3","5","2","2","3","2","5","4"
"2018/05/16 8:23:41 am EET","Female","25-29","No","Less than 3 hours a week","PC/Laptop","Adventure;Role-playing","6","3","5","3","3","4","3","3","4"
"2018/05/16 9:04:09 am EET","Male","25-29","No","6-9 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Sports","6","6","7","6","3","4","5","6","6"
"2018/05/16 9:22:11 am EET","Female","18-24","Yes","6-9 hours a week","PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Adventure;Music, dance or party","7","4","6","2","5","1","1","1","5"
"2018/05/16 10:01:51 am EET","Female","25-29","Yes","Less than 3 hours a week","Smartphone","Music, dance or party","3","1","4","1","4","1","1","2","1"
"2018/05/16 10:38:41 am EET","Female","25-29","Yes","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Adventure","5","2","4","2","3","3","1","3","3"
"2018/05/16 11:52:51 am EET","Female","25-29","Yes","3-5 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Puzzle;Action;Adventure","4","6","1","5","5","2","1","5","1"
"2018/05/16 12:49:52 pm EET","Female","25-29","Yes","15-19 hours a week","PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure;Strategy;Role-playing;Racing","5","5","7","4","2","4","1","4","4"
"2018/05/16 2:18:34 pm EET","Female","18-24","No","Less than 3 hours a week","Smartphone","Action;Sports;Music, dance or party","5","1","1","1","1","1","1","2","1"
"2018/05/16 4:33:19 pm EET","Male",">45","Yes","3-5 hours a week","PC/Laptop","MMO;Strategy;Role-playing","6","5","7","3","1","1","1","5","1"
